airbnbID,date,description,housing_type,lat,location,lon,price,title,url
7639521,,,,49.283073,,-123.104422,,,https://www.airbnb.ca/rooms/7639521?location=Surrey%2C%20BC
16665746,,,,49.252037,,-122.984583,,,https://www.airbnb.ca/rooms/16665746?location=Surrey%2C%20BC
22014323,,,,49.233218,,-122.842638,,,https://www.airbnb.ca/rooms/22014323?location=Surrey%2C%20BC
14579135,,,,49.181287,,-122.95249,,,https://www.airbnb.ca/rooms/14579135?location=Surrey%2C%20BC
12023084,,,,49.229186,,-122.962944,,,https://www.airbnb.ca/rooms/12023084?location=Surrey%2C%20BC
177957,,,,49.161324,,-123.161493,,,https://www.airbnb.ca/rooms/177957?location=Surrey%2C%20BC
14775158,,,,49.220725,,-123.086926,,,https://www.airbnb.ca/rooms/14775158?location=Surrey%2C%20BC
6529180,,,,49.240306,,-123.03231,,,https://www.airbnb.ca/rooms/6529180?location=Surrey%2C%20BC
14992567,,,,49.279495,,-123.063334,,,https://www.airbnb.ca/rooms/14992567?location=Surrey%2C%20BC
13333672,,,,49.250348,,-122.975988,,,https://www.airbnb.ca/rooms/13333672?location=Surrey%2C%20BC
12744059,,,,49.232431,,-123.001739,,,https://www.airbnb.ca/rooms/12744059?location=Surrey%2C%20BC
17908431,,,,49.210182,,-123.060844,,,https://www.airbnb.ca/rooms/17908431?location=Surrey%2C%20BC
7092753,,,,49.230691,,-122.96474,,,https://www.airbnb.ca/rooms/7092753?location=Surrey%2C%20BC
11213817,,,,49.230725,,-122.929978,,,https://www.airbnb.ca/rooms/11213817?location=Surrey%2C%20BC
8990835,,,,49.277442,,-123.120102,,,https://www.airbnb.ca/rooms/8990835?location=Surrey%2C%20BC
20928092,,,,49.262994,,-122.97201,,,https://www.airbnb.ca/rooms/20928092?location=Surrey%2C%20BC
2592307,,,,49.250269,,-123.117207,,,https://www.airbnb.ca/rooms/2592307?location=Surrey%2C%20BC
16270928,,,,49.21371,,-122.937528,,,https://www.airbnb.ca/rooms/16270928?location=Surrey%2C%20BC
14204145,,,,49.278304,,-123.091404,,,https://www.airbnb.ca/rooms/14204145?location=Surrey%2C%20BC
14268324,,,,49.266009,,-123.154418,,,https://www.airbnb.ca/rooms/14268324?location=Surrey%2C%20BC
7985028,,,,49.237867,,-122.883647,,,https://www.airbnb.ca/rooms/7985028?location=Surrey%2C%20BC
13349813,,,,49.193359,,-123.107612,,,https://www.airbnb.ca/rooms/13349813?location=Surrey%2C%20BC
9093233,,,,49.277241,,-123.088388,,,https://www.airbnb.ca/rooms/9093233?location=Surrey%2C%20BC
14424,,,,49.279492,,-123.088748,,,https://www.airbnb.ca/rooms/14424?location=Surrey%2C%20BC
21192654,,,,49.231538,,-123.043208,,,https://www.airbnb.ca/rooms/21192654?location=Surrey%2C%20BC
5891398,,,,49.341035,,-123.06433,,,https://www.airbnb.ca/rooms/5891398?location=Surrey%2C%20BC
14472566,,,,49.219603,,-122.926458,,,https://www.airbnb.ca/rooms/14472566?location=Surrey%2C%20BC
13126026,,,,49.230922,,-122.952438,,,https://www.airbnb.ca/rooms/13126026?location=Surrey%2C%20BC
8991755,,,,49.275342,,-123.126011,,,https://www.airbnb.ca/rooms/8991755?location=Surrey%2C%20BC
18374938,,,,49.212715,,-123.085179,,,https://www.airbnb.ca/rooms/18374938?location=Surrey%2C%20BC
7415854,,,,49.268896,,-123.067182,,,https://www.airbnb.ca/rooms/7415854?location=Surrey%2C%20BC
1403595,,,,49.139838,,-123.112834,,,https://www.airbnb.ca/rooms/1403595?location=Surrey%2C%20BC
11396241,,,,49.278281,,-123.100031,,,https://www.airbnb.ca/rooms/11396241?location=Surrey%2C%20BC
17765183,,,,49.272723,,-122.808728,,,https://www.airbnb.ca/rooms/17765183?location=Surrey%2C%20BC
10224269,,,,49.225242,,-122.915651,,,https://www.airbnb.ca/rooms/10224269?location=Surrey%2C%20BC
15905184,,,,49.325194,,-123.057714,,,https://www.airbnb.ca/rooms/15905184?location=Surrey%2C%20BC
16492434,,,,49.212153,,-122.951521,,,https://www.airbnb.ca/rooms/16492434?location=Surrey%2C%20BC
13239467,,,,49.220328,,-122.942913,,,https://www.airbnb.ca/rooms/13239467?location=Surrey%2C%20BC
7036502,,,,49.230745,,-122.962835,,,https://www.airbnb.ca/rooms/7036502?location=Surrey%2C%20BC
2454353,,,,49.237772,,-123.086964,,,https://www.airbnb.ca/rooms/2454353?location=Surrey%2C%20BC
6913056,,,,49.277871,,-123.130313,,,https://www.airbnb.ca/rooms/6913056?location=Surrey%2C%20BC
8211076,,,,49.264,,-123.034,,,https://www.airbnb.ca/rooms/8211076?location=Surrey%2C%20BC
3629071,,,,49.271701,,-123.0689,,,https://www.airbnb.ca/rooms/3629071?location=Surrey%2C%20BC
906091,,,,49.210419,,-122.817234,,,https://www.airbnb.ca/rooms/906091?location=Surrey%2C%20BC
14000102,,,,49.249247,,-122.985909,,,https://www.airbnb.ca/rooms/14000102?location=Surrey%2C%20BC
5814747,,,,49.245766,,-123.051033,,,https://www.airbnb.ca/rooms/5814747?location=Surrey%2C%20BC
6854869,,,,49.279563,,-123.059997,,,https://www.airbnb.ca/rooms/6854869?location=Surrey%2C%20BC
1714639,,,,49.227462,,-123.110467,,,https://www.airbnb.ca/rooms/1714639?location=Surrey%2C%20BC
5632844,,,,49.157911,,-123.153581,,,https://www.airbnb.ca/rooms/5632844?location=Surrey%2C%20BC
13126779,,,,49.232428,,-122.952593,,,https://www.airbnb.ca/rooms/13126779?location=Surrey%2C%20BC
16122503,,,,49.221817,,-122.893876,,,https://www.airbnb.ca/rooms/16122503?location=Surrey%2C%20BC
15455548,,,,49.318,,-123.006,,,https://www.airbnb.ca/rooms/15455548?location=Surrey%2C%20BC
6973711,,,,49.274548,,-123.062994,,,https://www.airbnb.ca/rooms/6973711?location=Surrey%2C%20BC
6622998,,,,49.222697,,-122.922104,,,https://www.airbnb.ca/rooms/6622998?location=Surrey%2C%20BC
1459432,,,,49.232312,,-123.133357,,,https://www.airbnb.ca/rooms/1459432?location=Surrey%2C%20BC
2070532,,,,49.332332,,-122.94622,,,https://www.airbnb.ca/rooms/2070532?location=Surrey%2C%20BC
2722439,,,,49.280282,,-123.126534,,,https://www.airbnb.ca/rooms/2722439?location=Surrey%2C%20BC
14219902,,,,49.249883,,-122.98368,,,https://www.airbnb.ca/rooms/14219902?location=Surrey%2C%20BC
13280970,,,,49.22953,,-122.948965,,,https://www.airbnb.ca/rooms/13280970?location=Surrey%2C%20BC
20460805,,,,49.234828,,-122.945897,,,https://www.airbnb.ca/rooms/20460805?location=Surrey%2C%20BC
